date,IYR,SPY,XLB,XLC,XLE,XLF,XLI,XLK,XLP,XLRE,XLU,XLV,XLY
2014-01,44.11309814453125,144.35821533203125,17.165124893188477,,26.043977737426758,13.580158233642578,40.035606384277344,14.962261199951172,29.27442741394043,,13.061580657958984,45.65519714355469,27.310625076293945
2014-02,46.208885192871094,150.92877197265625,18.350004196166992,,27.37771987915039,13.992851257324219,41.66007995605469,15.619707107543945,30.41639518737793,,13.512558937072754,48.49436569213867,29.05829620361328
2014-03,46.275970458984375,152.1808319091797,18.501562118530273,,27.954938888549805,14.458925247192383,42.0585823059082,15.686906814575195,31.083412170410156,,13.965354919433594,47.88438034057617,28.225183486938477
2014-04,47.677879333496094,153.2387237548828,18.65416717529297,,29.4239559173584,14.212982177734375,42.62116241455078,15.73005485534668,31.935209274291992,,14.554821014404297,47.58147048950195,27.841392517089844
2014-05,49.01136779785156,156.79483032226562,19.2059326171875,,29.9167537689209,14.42656135559082,43.440956115722656,16.321292877197266,32.512699127197266,,14.39650821685791,48.94867706298828,28.643848419189453
2014-06,49.50764846801758,160.0318145751953,19.516021728515625,,31.566162109375,14.7760591506958,43.647247314453125,16.626306533813477,32.430355072021484,,15.035994529724121,49.98713684082031,29.199148178100586
2014-07,49.452476501464844,157.88137817382812,19.12679672241211,,30.471914291381836,14.561636924743652,41.84679412841797,16.908123016357422,31.35466766357422,,14.013436317443848,50.05286407470703,28.8272705078125
2014-08,51.16964340209961,164.1119842529297,19.865928649902344,,31.13729476928711,15.17893123626709,43.614967346191406,17.46304702758789,32.8010368347168,,14.70306396484375,52.477027893066406,30.109174728393555
2014-09,48.15544128417969,161.84783935546875,19.586776733398438,,28.72372817993164,15.117695808410645,43.114967346191406,17.37275505065918,32.99414825439453,,14.427679061889648,52.7053108215332,29.27488136291504
2014-10,52.17766189575195,165.65943908691406,19.116756439208984,,27.709421157836914,15.554848670959473,44.78601837158203,17.651416778564453,34.1644172668457,,15.586281776428223,55.47623825073242,29.893823623657227
2014-11,53.5972900390625,170.21043395996094,19.41693878173828,,25.300464630126953,15.920230865478516,46.165061950683594,18.500457763671875,36.05877685546875,,15.767951965332031,57.406005859375,31.52239990234375
2014-12,54.02873229980469,169.77870178222656,19.308807373046875,,25.24712371826172,16.21797752380371,46.15509033203125,18.09775161743164,35.72139358520508,,16.330429077148438,56.60038757324219,31.802947998046875
2015-01,57.115501403808594,164.74826049804688,18.95507049560547,,24.09576416015625,15.09000015258789,44.51544189453125,17.463125228881836,35.375144958496094,,16.710845947265625,57.33705520629883,30.850830078125
2015-02,55.631900787353516,174.0079345703125,20.465425491333008,,25.202478408813477,15.968774795532227,46.89741897583008,18.859298706054688,36.84113693237305,,15.64220905303955,59.795406341552734,33.48676681518555
2015-03,56.22966384887695,171.27499389648438,19.461624145507812,,24.91132164001465,15.87039852142334,45.70338821411133,18.211376190185547,36.12543869018555,,15.48652172088623,60.178504943847656,33.32501983642578
2015-04,53.52167510986328,172.95933532714844,20.115938186645508,,26.548967361450195,15.883560180664062,45.58864974975586,18.712366104125977,35.8512077331543,,15.413324356079102,59.522727966308594,33.30733871459961
2015-05,53.344459533691406,175.18289184570312,20.191740036010742,,25.17142105102539,16.192943572998047,45.73616409301758,19.059547424316406,36.16250228881836,,15.51092529296875,62.20380401611328,33.74517822265625
2015-06,50.99839401245117,171.6245574951172,19.39426040649414,,24.294580459594727,16.118295669555664,44.521995544433594,18.275653839111328,35.499149322509766,,14.582746505737305,61.95998764038086,33.93227767944336
2015-07,53.523292541503906,175.50143432617188,18.416330337524414,,22.426259994506836,16.667022705078125,44.653770446777344,18.796554565429688,37.520206451416016,,15.472616195678711,63.792388916015625,35.59163284301758
2015-08,50.411869049072266,164.80459594726562,17.378284454345703,,21.47270965576172,15.490219116210938,42.24072265625,17.75916862487793,35.282859802246094,,14.934471130371094,58.71164321899414,33.26675796508789
2015-09,51.22622299194336,160.59947204589844,16.088565826416016,,19.9280948638916,15.054412841796875,41.30971908569336,17.515535354614258,35.420413970947266,,15.370174407958984,55.36341094970703,33.071495056152344
2015-10,54.41025161743164,174.25997924804688,18.24875831604004,,22.152095794677734,15.997810363769531,44.93643569946289,19.355783462524414,37.439510345458984,21.372323989868164,15.5335054397583,59.63496398925781,36.05978775024414
2015-11,54.30194091796875,174.89691162109375,18.430116653442383,,22.14884376525879,16.31669807434082,45.32561111450195,19.493244171142578,37.09423828125,21.23421859741211,15.203306198120117,59.44272232055664,35.97515106201172
2015-12,54.90216064453125,171.87417602539062,17.630229949951172,,19.8194580078125,15.93091106414795,44.159629821777344,19.087554931640625,38.17652130126953,21.772008895874023,15.525491714477539,60.466827392578125,34.95234680175781
2016-01,52.64989471435547,163.31715393066406,15.742144584655762,,19.12617301940918,14.520328521728516,41.64383316040039,18.378963470458984,38.38067626953125,20.379844665527344,16.293155670166016,55.79939651489258,33.141231536865234
2016-02,52.25503158569336,163.1823272705078,16.972444534301758,,18.590593338012695,14.099162101745605,43.418212890625,18.258630752563477,38.501651763916016,20.477584838867188,16.60883140563965,55.59792709350586,33.28880310058594
2016-03,57.61384201049805,174.15899658203125,18.257781982421875,,20.480501174926758,15.108534812927246,46.44600296020508,19.869354248046875,40.325984954833984,22.668092727661133,17.933629989624023,57.103214263916016,35.51828384399414
2016-04,56.651878356933594,174.84535217285156,19.190839767456055,,22.33694839477539,15.652448654174805,47.02375030517578,18.870506286621094,39.74839401245117,22.118309020996094,17.49992561340332,58.796607971191406,35.56319046020508
2016-05,57.90242385864258,177.81976318359375,19.12564468383789,,22.128467559814453,15.94790267944336,46.82279586791992,19.793201446533203,40.021995544433594,22.498933792114258,17.763757705688477,60.11086654663086,35.58114242553711
2016-06,61.51736068725586,178.43780517578125,18.97559356689453,,22.73052215576172,15.43235969543457,47.15671920776367,19.52049446105957,42.16657638549805,23.871501922607422,19.118791580200195,60.657379150390625,35.17569351196289
2016-07,63.7647819519043,184.94566345214844,19.937881469726562,,22.444061279296875,15.965667724609375,48.86585235595703,20.90677833557129,41.82251739501953,24.64471435546875,18.991252899169922,63.60947036743164,36.779911041259766
2016-08,61.62934494018555,185.1671600341797,19.88465118408203,,22.82045555114746,16.579994201660156,49.32891082763672,21.149829864501953,41.577842712402344,23.72226905822754,17.93821144104004,61.54552459716797,36.302249908447266
2016-09,60.72174835205078,185.1779022216797,19.653759002685547,,23.662120819091797,16.11545753479004,49.42073440551758,21.5943546295166,40.93525695800781,23.411787033081055,18.002986907958984,61.231903076171875,36.20546340942383
2016-10,57.70973205566406,181.96746826171875,19.242156982421875,,22.995256423950195,16.482852935791016,48.4302864074707,21.431659698486328,40.619834899902344,22.111530303955078,18.1646785736084,57.19842529296875,35.327919006347656
2016-11,56.36186981201172,188.67083740234375,20.55515480041504,,24.942241668701172,18.795801162719727,52.832271575927734,21.467809677124023,38.91196060180664,21.439966201782227,17.179819107055664,58.37874984741211,37.024192810058594
2016-12,58.74825668334961,192.4955596923828,20.591461181640625,,25.373937606811523,19.501859664916992,52.99397277832031,21.95294952392578,40.07798385620117,22.371883392333984,18.02142906188965,58.79690170288086,37.03865051269531
2017-01,58.82461929321289,195.94020080566406,21.527814865112305,,24.55867576599121,19.55217933654785,53.98197937011719,22.73374366760254,40.76002883911133,22.342777252197266,18.24776840209961,60.1444206237793,38.599361419677734
2017-02,61.39780044555664,203.6389617919922,21.64797019958496,,24.046613693237305,20.583898544311523,56.094234466552734,23.76420783996582,42.705413818359375,23.383163452148438,19.208755493164062,63.9567756652832,39.30009460449219
2017-03,60.50570297241211,203.89353942871094,21.782581329345703,,23.689285278320312,19.975406646728516,55.6648063659668,24.293209075927734,42.5249137878418,23.13692855834961,19.182762145996094,63.64939880371094,40.138736724853516
2017-04,60.844905853271484,205.91741943359375,22.05689811706543,,22.991146087646484,19.807056427001953,56.75995635986328,24.780797958374023,42.99238586425781,23.173538208007812,19.328567504882812,64.62518310546875,41.10170364379883
2017-05,60.77549743652344,208.82351684570312,22.061054229736328,,22.17778205871582,19.57136344909668,57.76958084106445,25.76054573059082,44.129920959472656,23.327301025390625,20.128629684448242,65.12164306640625,41.55351257324219
2017-06,62.03965759277344,210.15476989746094,22.4692325592041,,22.153013229370117,20.846107482910156,58.55017852783203,25.036211013793945,43.135467529296875,23.773805618286133,19.583377838134766,68.09581756591797,41.03021240234375
2017-07,62.7318000793457,214.47433471679688,22.81581687927246,,22.733118057250977,21.201000213623047,58.72208786010742,26.152591705322266,43.433815002441406,24.061756134033203,20.058263778686523,68.6544189453125,41.82215881347656
2017-08,63.151798248291016,215.1001434326172,22.995370864868164,,21.48760414123535,20.8714599609375,58.85103225708008,26.916671752929688,42.954872131347656,24.30539321899414,20.717824935913086,69.8575439453125,41.0439453125
2017-09,62.65602493286133,219.4342041015625,23.845510482788086,,23.67554473876953,21.94278907775879,61.313629150390625,27.136798858642578,42.64775085449219,23.973915100097656,20.146686553955078,70.49417114257812,41.38209915161133
2017-10,62.687400817871094,224.60494995117188,24.769102096557617,,23.478477478027344,22.570695877075195,61.77131652832031,28.90459442138672,41.94458770751953,24.167253494262695,20.932802200317383,69.95943450927734,42.25953674316406
2017-11,64.29537200927734,231.47015380859375,25.004196166992188,,23.889896392822266,23.35133171081543,64.34478759765625,29.313261032104492,44.283180236816406,24.873680114746094,21.494863510131836,71.9949951171875,44.400306701660156
2017-12,64.21611022949219,234.27748107910156,25.536027908325195,,25.14874839782715,23.792238235473633,65.70152282714844,29.473251342773438,45.28089141845703,24.764667510986328,20.19266128540039,71.59867095947266,45.49178695678711
2018-01,62.274044036865234,247.48110961914062,26.556962966918945,,26.050155639648438,25.352251052856445,69.2266845703125,31.54720687866211,46.0211181640625,24.291030883789062,19.56403160095215,76.29222869873047,49.69569778442383
2018-02,58.12825012207031,238.48268127441406,25.156343460083008,,23.227622985839844,24.61060905456543,66.55242156982422,31.418163299560547,42.51103210449219,22.637041091918945,18.805089950561523,72.86297607421875,47.97171401977539
2018-03,60.32079315185547,231.94570922851562,24.113271713256836,,23.62783432006836,23.587955474853516,64.7632827758789,30.24506950378418,42.12549591064453,23.503808975219727,19.51902961730957,70.73786926269531,46.82773208618164
2018-04,60.4566650390625,233.14450073242188,24.142919540405273,,25.871091842651367,23.485292434692383,62.95871353149414,30.263566970825195,40.380611419677734,23.36012077331543,19.91690444946289,71.48523712158203,47.94191360473633
2018-05,62.49477767944336,238.81195068359375,24.63840103149414,,26.645723342895508,23.25428581237793,64.89405822753906,32.31626892089844,39.74828338623047,23.881919860839844,19.69671630859375,71.61558532714844,48.89426803588867
2018-06,65.03175354003906,240.18539428710938,24.706289291381836,45.806434631347656,26.797483444213867,22.84804916381836,62.6948127746582,32.231239318847656,41.564395904541016,24.947439193725586,20.25095558166504,72.7967529296875,50.663597106933594
2018-07,65.57245635986328,249.0834503173828,25.41254425048828,44.81687545776367,27.213884353637695,24.01666259765625,67.3249282836914,32.90397262573242,43.20988082885742,25.206754684448242,20.574440002441406,77.56786346435547,51.57674026489258
2018-08,67.13005828857422,257.0340576171875,25.216842651367188,45.48275375366211,26.268159866333008,24.343183517456055,67.48247528076172,35.075294494628906,43.379276275634766,25.81689453125,20.83945655822754,80.92597198486328,54.20957565307617
2018-09,65.21456909179688,258.56231689453125,24.764089584350586,45.438934326171875,26.91067886352539,23.80386734008789,68.95182037353516,35.068538665771484,43.80751037597656,25.133756637573242,20.704357147216797,83.31671142578125,54.49712371826172
2018-10,63.657958984375,240.69451904296875,22.48988151550293,42.694053649902344,23.86217498779297,22.681854248046875,61.458587646484375,32.261390686035156,44.6848030090332,24.732980728149414,21.11332130432129,77.66887664794922,48.99254608154297
2018-11,66.64891815185547,245.15927124023438,23.344850540161133,41.7389030456543,23.489107131958008,23.277387619018555,63.79802322387695,31.628267288208008,45.70017623901367,26.089468002319336,21.86049461364746,83.94717407226562,50.20597457885742
2018-12,61.43546676635742,223.57339477539062,21.736921310424805,38.404624938964844,20.567256927490234,20.686857223510742,56.99778747558594,28.978925704956055,41.62620544433594,24.173370361328125,20.987285614013672,76.09506225585938,46.21145248413086
2019-01,68.48571014404297,241.47393798828125,22.954561233520508,42.91679763793945,22.873226165771484,22.527999877929688,63.51079177856445,30.989404678344727,43.76573181152344,26.770063400268555,21.716999053955078,79.75422668457031,50.77146530151367
2019-02,68.98577117919922,249.30145263671875,23.686010360717773,42.721431732177734,23.400407791137695,23.031715393066406,67.55489349365234,33.130794525146484,44.544471740722656,27.066383361816406,22.60932159423828,80.61625671386719,51.43889617919922
2019-03,71.86309814453125,253.81399536132812,23.98278045654297,43.588958740234375,23.898387908935547,22.442243576049805,66.77833557128906,34.710697174072266,46.24740982055664,28.405683517456055,23.24044418334961,81.00475311279297,53.31914138793945
2019-04,71.83010864257812,264.1828918457031,24.825422286987305,46.66451644897461,23.8947696685791,24.458642959594727,69.43061828613281,36.91998291015625,47.5661735534668,28.256671905517578,23.456188201904297,78.80635070800781,56.232147216796875
2019-05,71.7227783203125,247.335693359375,22.794445037841797,43.8871955871582,21.241802215576172,22.70411491394043,64.12608337402344,33.72097396850586,45.83528518676758,28.60174560546875,23.272403717041016,77.0582504272461,51.956321716308594
