date,ABBV,CVX,FCX,JPM,KO,MPC,MSFT,SPY,XOM
2014-01,29.996889114379883,65.96473693847656,27.555883407592773,39.74828338623047,25.609724044799805,30.176494598388672,31.256126403808594,144.35821533203125,55.168827056884766
2014-02,31.020545959472656,68.75648498535156,27.734424591064453,40.79656219482422,25.867040634155273,29.26280403137207,31.881641387939453,150.92877197265625,58.03731918334961
2014-03,31.319107055664062,70.89079284667969,28.117034912109375,43.58956527709961,26.38594627380371,30.32183265686035,34.111942291259766,152.18075561523438,58.887325286865234
2014-04,32.0174560546875,74.83148956298828,29.500524520874023,40.4467658996582,27.839704513549805,32.38068389892578,33.62094497680664,153.23870849609375,61.73887634277344
2014-05,33.400691986083984,73.82881164550781,29.22585678100586,40.150535583496094,27.921602249145508,31.28807258605957,34.31068801879883,156.79483032226562,61.0169677734375
2014-06,34.697872161865234,78.49459075927734,31.328750610351562,41.631710052490234,29.128677368164062,27.325862884521484,34.9476203918457,160.0319061279297,61.10798645019531
2014-07,32.42137145996094,77.7069320678711,32.20615768432617,41.95911407470703,27.017606735229492,29.219459533691406,36.17120361328125,157.88143920898438,60.05190658569336
2014-08,34.242523193359375,78.49475860595703,31.47064971923828,43.25418472290039,28.688583374023438,32.0349006652832,38.31142807006836,164.11192321777344,60.78804397583008
2014-09,35.77872085571289,72.35221862792969,28.25177574157715,43.828975677490234,29.548688888549805,29.80326271057129,39.095699310302734,161.84780883789062,57.48154830932617
2014-10,39.60277557373047,72.73421478271484,24.911205291748047,44.30005645751953,29.00843048095703,31.996171951293945,39.5932502746582,165.6594696044922,59.1073112487793
2014-11,43.18486404418945,66.62785339355469,23.468976974487305,44.0656852722168,31.266387939453125,31.88363265991211,40.57279586791992,170.21044921875,55.735843658447266
2014-12,40.838409423828125,68.6535415649414,20.41844940185547,45.8382682800293,29.446056365966797,31.943805694580078,39.41866683959961,169.77877807617188,56.91164016723633
